Column1,Column2,Column3
0.0,0.48685628,0.0010124022
2.5431315e-09,0.48685628,0.00073502987
0.0,0.48685628,0.0007804883
2.5431315e-09,0.48685628,5.455017e-06
-1.2715657e-09,0.48685628,-0.00046167945
-5.086263e-09,0.48685628,-0.00063419977
0.0,0.48685628,-0.0021638859
-5.086263e-09,0.48685628,-0.0024194259
2.5431315e-09,0.48685628,-0.0023155562
0.0,0.48685628,-0.002687818
-3.1789145e-09,0.48685628,0.0011152077
1.2715657e-09,0.48685628,0.0004963449
-1.5894572e-10,0.48685628,2.527396e-05
0.0,0.48685628,-0.00040975952
2.5431315e-09,0.48685628,-0.0014945487
0.0,0.48685628,-0.0021084123
2.5431315e-09,0.48685628,0.00067562546
-8.90096e-09,0.48685628,-0.00016720581
-5.086263e-09,0.48685628,-0.0021815337
0.0,0.48685628,-0.0023000068
2.5431315e-09,0.48685628,0.00037336032
-3.8146974e-09,0.48685628,3.0665717e-05
0.0,0.48685628,-0.0011201032
7.629395e-09,0.48685628,-0.0012141317
1.2715657e-09,0.48685628,0.00044611996
-2.5431315e-09,0.48685628,-0.00015077527
3.8146974e-09,0.48685628,-0.0012293797
-5.086263e-09,0.48685628,-0.0014527919
2.5431315e-09,0.48685628,-0.0030712243
-1.2715657e-09,0.48685628,0.0007632011
0.0,0.48685628,0.00024171575
-1.2715657e-09,0.48685628,-0.00030618094
-3.8146974e-09,0.48685628,-0.00047591783
0.0,0.48685628,-0.0020041594
0.0,0.48685628,-0.0022617187
0.0,0.48685628,0.0010189298
0.0,0.48685628,0.00047057852
5.086263e-09,0.48685628,0.00027205943
-2.5431315e-09,0.48685628,-0.00016903941
0.0,0.48685628,-0.0013222606
-5.086263e-09,0.48685628,-0.00141332
5.086263e-09,0.48685628,-0.0028387096
5.086263e-09,0.48685628,-0.0034467455
1.2715657e-09,0.48685628,0.00083717535
5.086263e-09,0.48685628,0.00015278434
0.0,0.48685628,-0.00038462543
-2.5431315e-09,0.48685628,-0.00067288714
-2.5431315e-09,0.48685628,-0.0020575002
5.086263e-09,0.48685628,-0.002486445
1.2715657e-09,0.48685628,0.0013605077
0.0,0.48685628,0.00062039436
0.0,0.48685628,0.0005538142
-1.2715657e-09,0.48685628,2.6676813e-05
6.3578287e-10,0.48685628,-0.00066507846
5.086263e-09,0.48685628,-0.0011693776
-7.629395e-09,0.48685628,-0.0023189913
5.086263e-09,0.48685628,-0.0028710377
-1.2715657e-09,0.48685628,0.0012883765
2.861023e-09,0.48685628,0.0008597387
0.0,0.48685628,0.0011423283
-5.086263e-09,0.48685628,-0.0011092746
